,title,label,processed_title
1575,"Ã£â‚¬ÂGAÃ£â‚¬â€˜Regional Health Policy Manager (Eastern Japan Region), Public Policy and Government Affairs",CLASS13,garegional health policy manager  public policy and government affairs
1576,Senior Consultant - Pipeline Pilot- DevOps Engineer,CLASS5,senior consultant  pipeline pilot devoperations engineer
1577,Oncology Business Manager - Mid Atlantic Market,CLASS6,oncology business manager  mid atlantic market
1578,"Ã£â‚¬ÂMedicalÃ£â‚¬â€˜ Evidence Delivery Lead, AZSS Operations, Evidence & Observational Research",CLASS3,medical evidence delivery lead azss operations evidence and observational research
1579,"Ã£â‚¬ÂMedicalÃ£â‚¬â€˜Associate Medical Affairs Manager (AMAM), MET Ã£Æ’Â¡Ã£Æ’â€¡Ã£â€šÂ£Ã£â€šÂ«Ã£Æ’Â«Ã¦Å“Â¬Ã©Æ’Â¨ Ã¥Â¾ÂªÃ§â€™Â°Ã¥â„¢Â¨Ã£Æ’Â»Ã¨â€¦Å½Ã£Æ’Â»Ã¤Â»Â£Ã¨Â¬ÂÃ§â€“Â¾Ã¦â€šÂ£Ã© ËœÃ¥Å¸Å¸Ã§ÂµÂ±Ã¦â€¹Â¬Ã©Æ’Â¨",CLASS3,medicalassociate medical affairs manager  met   
1580,"Global Medical Affairs Leader - ADC, GI",CLASS4,global medical affairs leader  adc gi
1581,Lead Consultant - Product Engineer,CLASS4,lead consultant  product engineer
1582,Directeur SMM Oncologie Study Start-Up (H/F),CLASS4,directorecteur smm oncologie study startup 
1583,"Senior Global Development Medical Director, Breast Cancer",CLASS4,senior global development medical director breast cancer
1584,"Ã£â‚¬ÂR&DÃ£â‚¬â€˜Study Leader, Development Operations Division",CLASS4,research and developmentstudy leader development operations division
1585,Medical Advisor - Lung Cancer,CLASS4,medical advisor  lung cancer
1586,Trainee Medical (m/w/d),CLASS4,trainee medical 
1587,"Primary Care Science Liaison Manager (m/w/d) Region Berlin, Brandenburg, Sachsen-Ost",CLASS4,primary care science liaison manager  region berlin brandenburg sachsenost
1588,"Business Support Coordinator, Late Vaccines & Immune Therapies",CLASS11,business support coordinator late vaccines and immune therapies
1589,Associate Director Systems Modeling,CLASS4,associate director systems modeling
1590,Chef de Zone BPCO - Nord-Est / Ile-de-France (H/F),CLASS13,chef de zone bpco  nordest  iledefrance 
1591,AttachÃƒÂ© Scientifique Hospitalier BPCO - Lorraine / Meuse (H/F),CLASS4,attach scientifique hospitalier bpco  lorraine  meuse 
1592,Statistical Programmer,CLASS5,statistical programmer
1593,Creative Technologist Ã¢â‚¬â€œ R&DIT,CLASS4,creative technologist  research and developmentit
1594,Senior Design Researcher - Digital Health R&D,CLASS5,senior design researcher  digital health research and development
1595,"Global Medical Affairs Leader, Lung Cancer",CLASS4,global medical affairs leader lung cancer
1596,Senior Digital Accessibility Specialist,CLASS6,senior digital accessibility specialist
1597,INTERNSHIP (Singapore) - Corporate Affairs & Patients Advocacy,CLASS13,intern   corporate affairs and patients advocacy
1598,"Asset Lead, Oncology Outcomes Research",CLASS4,asset lead oncology outcomes research
1599,Technology Director Ã¢â‚¬â€œ Sweden Operations,CLASS5,technology director  sweden operations
1600,Global Data Steward Ã¢â‚¬â€œ Finance Master Data,CLASS5,global data steward  finance master data
1601,"Associate Director, Access Strategy",CLASS13,associate director access strategy
1602,Brand Manager - Oncology (Lung),CLASS6,brand manager  oncology 
1603,Advance Reporting Business Analyst (Power BI),CLASS13,advance representativeorting business analyst 
1604,"Ã£â‚¬ÂR&DÃ£â‚¬â€˜Documentation Technologist, R&D Science & Data Analytics Division",CLASS5,research and developmentdocumentation technologist research and development science and data analytics division
1605,Associate Director Data Scientist - Digital Health R&D,CLASS5,associate director data scientist  digital health research and development
1606,Medical Writers (Clinical Regulatory) Ã¢â‚¬â€œ all levels,CLASS3,medical writers   all levels
1607,Data Governance Manager - 18 month fixed term contract,CLASS5,data governance manager  18 month fixed term contract
1608,Product Quality Lead,CLASS4,product quality lead
1609,"Medical Representative - CVRM, Specialty Care",CLASS13,medical representativeresentative  cvrm specialty care
1610,Associate Director Strategic Feasibility (12 months Secondment),CLASS13,associate director strategic feasibility 
1611,FÃƒÂ¶rrÃƒÂ¥dsoperatÃƒÂ¶r Ã¢â‚¬â€œ AstraZeneca Sweden Biomanufacturing Center,CLASS8,frrdsoperatr  astrazeneca sweden biomanufacturing center
1612,Health Economics Manager,CLASS10,health economics manager
1613,Oncology Product Specialist - Jeddah,CLASS4,oncology product specialist  jeddah
1614,Medical Science Liaison-Respiratory Health Systems (South Florida),CLASS4,medical science liaisonrespiratory health systems 
1615,"Key Account Manager, Respiratory & Immunology",CLASS6,key account manager respiratory and immunology
1616,Project Controls Professional Apprentice,CLASS10,project controls professional apprentice
1617,KAM Oncology,CLASS4,kam oncology
1618,R&D Data Sciences & AI Graduate Programme - Sweden,CLASS5,research and development data sciences and ai graduate programme  sweden
1619,HR IT Analyst - LMS,CLASS5,human resource it analyst  lms
1620,"Global Medical Head, Respiratory Inhaled/COPD",CLASS4,global medical head respiratory inhaledcopd
1621,R&D Data Policy Manager,CLASS5,research and development data policy manager
1622,Consultor TÃƒÂ©cnico Oncologia - Rio de Janeiro,CLASS4,consultor tcnico oncologia  rio de janeiro
1623,Nordic IT Data Specialist - Nordic Marketing Company,CLASS5,nordic it data specialist  nordic marketing company
1624,AstraZeneca Biometrics Graduate Programme: Statistics - US,CLASS4,astrazeneca biometrics graduate programme statistics  us
1625,AstraZeneca Biometrics Graduate Programme: Information Scientist - US,CLASS5,astrazeneca biometrics graduate programme information scientist  us
1626,Business Insight Lead Oncologie Digestive (H/F),CLASS6,business insight lead oncologie digestive 
1627,TÃƒÂ©cnico MecatrÃƒÂ´nico I,CLASS11,tcnico mecatrnico 1
1628,"Oncology Account Director - West Region, Lung",CLASS6,oncology account director  west region lung
1629,"Director, Medical Affairs - Andexxa",CLASS4,director medical affairs  andexxa
1630,"Corporate Maintenance Planner/Scheduler United States, Bend (Oregon)",CLASS11,corporate maintenance plannerscheduler united states bend 
1631,"Corporate Sr. Manager, Maintenance United States, Bend (Oregon)",CLASS11,corporate senior manager maintenance united states bend 
1632,MSAT Engineer (Entry to Mid-Level Roles),CLASS8,msat engineer 
1633,Technical Reviewer,CLASS5,technical reviewer
1634,Senior Program Manager,CLASS5,senior program manager
1635,Digital Trading Manager,CLASS6,digital trading manager
1636,Trading Change Lead Ã¢â‚¬â€œ Optimise Offer,CLASS6,trading change lead  optimise offer
1637,Trading Efficiency Lead,CLASS12,trading efficiency lead
1638,Trading Change Lead Ã¢â‚¬â€œ Simplify,CLASS12,trading change lead  simplify
1639,Head of Trading Operations Retail,CLASS7,head of trading operations retail
1640,"IT Solution Architect, Sales Technology",CLASS5,it solution architect sales technology
1641,Commercial Manager - OEM Programs,CLASS6,commercial manager  oem programs
1642,Tax Manager Tax Compliance (w/m/d),CLASS3,tax manager tax compliance 
1643,In Service Controls Engineer - Submarines,CLASS8,in service controls engineer  submarines
1644,Quality & HSE Manager; Services Control Centre,CLASS8,quality and hse manager services control centre
1645,"MANAGER, CONTINUOUS IMPROVEMENT",CLASS13,manager continuous improvement
1646,GD&T Specialist,CLASS4,gdandt specialist
1647,Planning & Control Specialist,CLASS7,planning and control specialist
1648,Business Analyst LNG Trading,CLASS7,business analyst lng trading
1649,"Accounting New Business Advisor, Trading",CLASS10,accounting new business advisor trading
1650,Credit Specialist - Trading & Supply (Nightshift),CLASS10,credit specialist  trading and supply 
1651,Investment Risk Analyst,CLASS3,investment risk analyst
1652,IT Business Analyst Ã¢â‚¬â€œ Finance Treasury,CLASS5,it business analyst  finance treasury
1653,Business Controls Specialist,CLASS10,business controls specialist
1654,Senior Analyst - Trading Settlements,CLASS10,senior analyst  trading settlements
1655,Manager South Gas and Power Trading,CLASS7,manager south gas and power trading
1656,Junior Trader West Gas,CLASS7,junior trader west gas
1657,R&A FAC Senior Analyst,CLASS6,randa fac senior analyst
1658,Imagery Analyst -Sr.,CLASS4,imagery analyst senior
1659,"Cartographer -Springfield, VA",CLASS4,cartographer springfield va
1660,"Geospatial Analyst -Springfield, VA",CLASS7,geospatial analyst springfield va
1661,Top-Side Electronics Systems Technician,CLASS11,toperationside electronics systems technician
1662,Sr Imagery GEOINT Analyst,CLASS4,senior imagery geoint analyst
1663,Geospatial GEOINT Analyst_GIS,CLASS4,geospatial geoint analystgis
1664,"Imagery Analyst -Springfield, VA",CLASS4,imagery analyst springfield va
1665,Imagery Analyst - CONUS/OCONUS,CLASS4,imagery analyst  conusoconus
1666,Geospatial Analyst- CONUS/OCONUS,CLASS7,geospatial analyst conusoconus
1667,Geospatial GEOINT Analyst,CLASS7,geospatial geoint analyst
1668,Sr Geospatial/Imagery GEOINT Analyst,CLASS4,senior geospatialimagery geoint analyst
1669,AEGIS Computer & Display Technician,CLASS11,aegis computer and display technician
1670,Sr. Contracts Manager (Hybrid),CLASS7,senior contracts manager 
1671,NCRC Cyber Range Sanitization Subject Matter Expert,CLASS4,ncrc cyber range sanitization subject matter expert
1672,Forensics and Malware Analyst SME ($5k Sign-on Bonus),CLASS3,forensics and malware analyst sme 
1673,Senior Geospatial Analyst,CLASS7,senior geospatial analyst
1674,Senior Electrical Engineer - Military GPS (Onsite),CLASS4,senior electrical engineer  military gps 
1675,Radar Systems Integration Engineer,CLASS5,radar systems integration engineer
1676,Outside Machinist Improver,CLASS8,outside machinist improver
1677,"Contract Administrator, Principal (Hybrid)",CLASS3,contract administrator principal 
1678,"Imagery Analyst, Mid-Level",CLASS4,imagery analyst midlevel
1679,Power Electronics Engineer - Sign On Bonus,CLASS8,power electronics engineer  sign on bonus
1680,CDL/Class C Driver w/ endorsements,CLASS13,cdlclass c driver w endorsements
1681,Fast Labs R&D Systems Engineering Technical Lead,CLASS4,fast labs research and development systems engineering technical lead
1682,Senior PWB Engineer (Remote),CLASS8,senior pwb engineer 
1683,Electrical Improver-2nd Shift,CLASS11,electrical improver2nd shift
1684,Principle Contract Administrator,CLASS7,principle contract administrator
1685,Journeyperson Welder (1st and 2nd Shift),CLASS8,journeyperson welder 
1686,Shipfitter Improver,CLASS8,shipfitter improver
1687,Safety Tech II,CLASS8,safety tech 2
1688,Reentry Systems Reentry Vehicle (RS/RV) Engineer,CLASS4,reentry systems reentry vehicle  engineer
1689,C2/C4 Decision Making Systems Project Manager,CLASS3,c2c4 decision making systems project manager
1690,Imagery Analyst - Quantico,CLASS4,imagery analyst  quantico
1691,Engineering Manager- Safety and Product Sustainability,CLASS8,engineering manager safety and product sustainability
1692,Air - Senior Contracts Officer,CLASS7,air  senior contracts officer
1693,Senior HR Data Analytics Lead,CLASS5,senior human resource data analytics lead
1694,Research Scientist Skill Level 0,CLASS4,research scientist skill level 0
1695,Principal Contract Administrator,CLASS3,principal contract administrator
1696,Environmental Engineer Senior,CLASS4,environmental engineer senior
1697,Senior Value Stream Specialist,CLASS10,senior value stream specialist
1698,IFF SCA Engineering Technician IV (Navy Combat Systems),CLASS4,iff sca engineering technician 4 
1699,Sr. Imagery Analyst - Quantico,CLASS4,senior imagery analyst  quantico
1700,Quality Engineering Technologist II: Paint & Environmental Testing,CLASS8,quality engineering technologist 2 paint and environmental testing
1701,SCA Electronics Tech II,CLASS8,sca electronics tech 2
1702,Mechanical Supervisor,CLASS11,mechanical supervisor
1703,Platform Solution Manager - R&D Engineering,CLASS5,platform solution manager  research and development engineering
1704,Machinist-Swiss,CLASS8,machinistswiss
1705,Fabricator,CLASS8,fabricator
1706,Bench Tech I Laser FTC,CLASS5,bench tech 1 laser ftc
1707,Electronics Engineering Intern Ã¢â‚¬â€œ R&D,CLASS4,electronics engineering intern  research and development
1708,Field Engineer II,CLASS11,field engineer 2
1709,Radiation Protection Adviser,CLASS4,radiation protection adviser
1710,Automatyk Utrzymania Ruchu,CLASS11,automatyk utrzymania ruchu
